repo_full_name,stars,python_pct,contributors,commits_last_90d,pushed_at,html_url,web_frameworks_detected,description
EbookFoundation/free-programming-books,371943,98.92,-1,-1,2025-10-08T15:17:45Z,https://github.com/EbookFoundation/free-programming-books,,:books: Freely available programming books
vinta/awesome-python,263243,92.58,-1,-1,2025-10-02T18:31:44Z,https://github.com/vinta/awesome-python,,"An opinionated list of awesome Python frameworks, libraries, software and resources."
TheAlgorithms/Python,210285,99.82,-1,-1,2025-10-08T12:11:28Z,https://github.com/TheAlgorithms/Python,,All Algorithms implemented in Python
Significant-Gravitas/AutoGPT,178876,63.21,-1,-1,2025-10-08T15:18:41Z,https://github.com/Significant-Gravitas/AutoGPT,,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters."
AUTOMATIC1111/stable-diffusion-webui,157130,87.46,-1,-1,2025-10-07T20:06:10Z,https://github.com/AUTOMATIC1111/stable-diffusion-webui,,Stable Diffusion web UI
huggingface/transformers,150750,99.57,-1,-1,2025-10-08T15:22:00Z,https://github.com/huggingface/transformers,,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training."
ytdl-org/youtube-dl,138288,99.69,-1,-1,2025-09-29T01:15:05Z,https://github.com/ytdl-org/youtube-dl,,Command-line program to download videos from YouTube.com and other video sites
521xueweihan/HelloGitHub,130168,100.00,-1,-1,2025-09-28T02:00:22Z,https://github.com/521xueweihan/HelloGitHub,,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub."
yt-dlp/yt-dlp,129927,99.89,-1,-1,2025-10-01T06:53:19Z,https://github.com/yt-dlp/yt-dlp,,A feature-rich command-line audio/video downloader
langflow-ai/langflow,129775,50.74,-1,-1,2025-10-08T15:21:50Z,https://github.com/langflow-ai/langflow,,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.
langchain-ai/langchain,116813,98.58,-1,-1,2025-10-08T14:56:34Z,https://github.com/langchain-ai/langchain,,🦜🔗 Build context-aware reasoning applications
deepseek-ai/DeepSeek-V3,99572,100.00,-1,-1,2025-08-28T03:24:37Z,https://github.com/deepseek-ai/DeepSeek-V3,,
