repo_full_name,type,stars,python_pct,contributors,commits_last_90d,pushed_at,html_url,web_frameworks_detected,description
apache/airflow,,42708,92.07,3909,1673,2025-10-08T16:45:46Z,https://github.com/apache/airflow,flask,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows"
langflow-ai/langflow,,129810,50.75,304,400,2025-10-08T17:29:53Z,https://github.com/langflow-ai/langflow,fastapi,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.
getsentry/sentry,,42158,56.56,978,4817,2025-10-08T17:31:25Z,https://github.com/getsentry/sentry,django,Developer-first error tracking and performance monitoring
WeblateOrg/weblate,,5435,85.17,1988,2285,2025-10-08T17:33:05Z,https://github.com/WeblateOrg/weblate,django,Web based localization tool with tight version control integration.
BerriAI/litellm,,29648,88.66,902,2957,2025-10-08T16:49:02Z,https://github.com/BerriAI/litellm,"fastapi,flask","Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, Replicate, Groq]"
openedx/edx-platform,,7875,72.29,1502,427,2025-10-08T16:11:27Z,https://github.com/openedx/edx-platform,"django,fastapi","The Open edX LMS & Studio, powering education sites around the world!"
mindsdb/mindsdb,,36286,99.82,878,174,2025-10-08T14:20:47Z,https://github.com/mindsdb/mindsdb,"fastapi,flask","AI Analytics and Knowledge Engine for RAG over large-scale, heterogeneous data. - The only MCP Server you'll ever need"
mlflow/mlflow,,22401,53.11,901,829,2025-10-08T14:22:10Z,https://github.com/mlflow/mlflow,"fastapi,flask","The open source developer platform to build AI/LLM applications and models with confidence. Enhance your AI applications with end-to-end tracking, observability, and evaluations, all in one integrated platform."
wagtail/wagtail,,19688,76.12,1017,289,2025-10-07T09:38:21Z,https://github.com/wagtail/wagtail,django,A Django content management system focused on flexibility and user experience
mitmproxy/mitmproxy,,40768,80.6,578,46,2025-10-05T11:43:24Z,https://github.com/mitmproxy/mitmproxy,flask,An interactive TLS-capable intercepting HTTP proxy for penetration testers and software developers.
freqtrade/freqtrade,,43413,98.34,369,811,2025-10-08T05:12:00Z,https://github.com/freqtrade/freqtrade,fastapi,"Free, open source crypto trading bot"
OpenBB-finance/OpenBB,,53020,100.0,253,29,2025-10-08T15:53:59Z,https://github.com/OpenBB-finance/OpenBB,"fastapi,streamlit","Financial data platform for analysts, quants and AI agents."
